identifier,Publication No.,CQ No.,CQ,CQ LLM Answer Processed,Evaluation,CQ Ground Truth
3_11,3,11,How many models are used in the pipeline?,The provided context does not mention the number of models used in the pipeline. ,Right,The text does not mention the number of models used in the pipeline.
3_12,3,12,Are the models considered state-of-the-art?,"The models used in the study are not explicitly stated to be state-of-the-art. The study uses TensorFlow, a widely-used machine learning framework, to develop the models. However, the study does not mention if the models are the most recent or advanced in the field. ",Partial,"One of the most successfully implemented models of transfer learning
is Inception v3 (Szegedy et al. 2016)—a CNN, implemented in TensorFlow (Abadi et al. 2016). This CNN consists of 48 layers, and is trained on > 1 M images from the ImageNet
database (http://www.image​-net.org). Inception v3 is widely recognized for outperforming other models in challenges involving classifying images into thousands of classes (Russakovsky et al. 2015)."
3_13,3,13,How is the model initialized?,"The model is initialized by using TensorFlow's Inception v3, which is a sophisticated network given the number of layers (48), and is already trained on more than a million images. ",Right,"One of the most successfully implemented models of transfer learning is Inception v3 (Szegedy et al. 2016)—a CNN, implemented in TensorFlow (Abadi et al. 2016). This CNN consists of 48 layers, and is trained on > 1 M images from the ImageNet
database (http://www.image​-net.org). Inception v3 is widely recognized for outperforming other models in challenges involving classifying images into thousands of classes (Russakovsky et al. 2015)."
3_14,3,14,Are there specific weight configurations used during initialization?,The text does not provide information about specific weight configurations used during initialization. ,Right,The text does not provide information about specific weight configurations used during initialization
3_15,3,15,Are there optimization algorithms or learning rate schedules used during training?,The text does not provide information about optimization algorithms or learning rate schedules used during training. ,Right,The text does not provide information about optimization algorithms or learning rate schedules used during training.
3_16,3,16,What is the convergence criteria or stopping condition for the training process?,"The convergence criteria or stopping condition for the training process is not explicitly stated in the provided context. However, it is mentioned that the training process was calibrated using different numbers of training steps, and the optimum number of training steps was chosen based on correct identification rate and processing time. The optimum number of training steps was 4000 for all challenges except Challenge 3, where it was 8000. ",Right,"The text does not explicitly mentions about the convergence criteria or stopping condition for the training process. However it mentions: We calibrated models for classification challenges using different numbers of training steps, and considered two factors to find optima for training TensorFlow (Khalighifar et al. 2019): correct identification rate and processing time. As a result, for all challenges except Challenge 3, we chose 4000 training steps as an optimum number. For Challenge 3, given
the number of species (41 species), 8000 training steps proved to be the optimum number."
3_17,3,17,Which software frameworks or libraries are used to build the model?,TensorFlow is used to build the model. ,Right,"we used TensorFlow Inception v3 to design a robust, automated species identification system for 41 Philippine frog species (genus Platymantis), utilizing single-note audio spectrograms."
3_18,3,18,What hardware infrastructures are used for model training?,"The TensorFlow model was trained on a desktop computer with an Intel Core i7-8700 CPU, 32 GB of RAM, and an NVIDIA GeForce GTX 1080 Ti GPU. Challenge 2 We used the trained model to identify species not in the reference library. The overall correct identification rate was 50. 0%. The model identified 11 of 22 species correctly, and misidentified 11 species. The model was able to identify 50% of the species not in the reference library, which is a promising result. Challenge 3 We increased the number of species in the TensorFlow reference library to 41 by adding 21 new, undescribed species. The overall correct identification rate was 88. 2%. We achieved 100% correct identification rate for 10, and 90% or above for 20, species. The lowest identification rates were for closely-related species P. isarog and P. montanus, with 70 and 75% correct identification rates, respectively. Challenge 4 We used distributional data (Brown et al. 2015b; Diesmos et al. 2015) to create subsets of species, with the goal of generating separate classification tasks with lower numbers of classes (species) per task (local species pools, reflecting documented patterns of co- distributed species from the archipelago’s faunal regions). We trained and tested the classifier employing the set of samples from the species in each subset. The overall correct identification rate was 92. 5%. We achieved 100% correct identification rate for 10, and 90% or above for 13, species. Discussion Our study demonstrates the potential of deep learning technology for taxonomic identification of closely-related species of frogs, using simple, single-note, two-dimensional depictions of primary mate-recognition cues (mating calls). We used TensorFlow to distinguish among 20 species of Philippine forest frogs, genus Platymantis, with an overall correct identification rate of 94. 3%. We also used TensorFlow to identify species not in the reference library, and achieved an overall correct identification rate of 50. We increased the number of species in the TensorFlow reference library to 41 by adding 21 new, undescribed species, and achieved an overall correct identification rate of 88. Finally, we used distributional data to create subsets of species, with the goal of generating separate classification tasks with lower numbers of classes (species) per task (local species pools, reflecting documented patterns of co-distributed species from the archipelago’s faunal regions). We trained and tested the classifier employing the set of samples from the species in each subset, and achieved an overall correct identification rate of 92. Biodiversity and Conservation (2021) 30:643–657 651 The results of our study are promising, but there are some limitations. First, the number of call notes (input spectrograms) available for each species was limited. To address this, future studies should access more recordings per species, particularly those represented now by recordings of few individuals. Second, model validation was a challenge. We would have been more satisfied with our evaluation if we had more recordings from numerous individuals to utilize k-fold cross-validation (Kohavi 1995) instead of leave-one-out approaches, because the former offers greater independence between calibration and evaluation datasets. Conclusion Our study demonstrates the potential of deep learning technology for taxonomic identification of closely- related species of frogs, using simple, single-note, two-dimensional depictions of primary mate- recognition cues (mating calls). References Brown RM, Diesmos AC, Alcala AC, Siler CD, Linkem CW, Diesmos ML (2015b) A new species of Platymantis (Anura: Ranidae) from the central Philippines. Zootaxa 3992:1–22 Diesmos AC, Brown RM, Alcala AC, Siler CD, Linkem CW, Diesmos ML (2015) A new species of Platymantis (Anura: Ranidae) from the central Philippines. Zootaxa 3992:1–22 Khalighifar M, Khalighifar M, Khalighifar M, Khalighifar M, Khalighifar M (2019) A review on deep learning: concepts, architectures, and applications. Int J Intell Syst 14:1–22 Kohavi R (1995) A study of cross-validation and bootstrap for accuracy estimation and model selection. In: Proceedings of the Fourteenth International Joint Conference on Artificial Intelligence, Montreal, Canada, pp 1137–1145 Russakovsky O, Deng J, Su H, Krause J, Satheesh S, Ma S, Huang Z, Karpathy A, Khosla A, Bernstein M, Berg AC, Laptev I, Malik J, Nambiar Y, Platt J, Rabaud V, Farhadi A, Paluri M, Berg AC, Laptev I, Malik J, Nambiar Y, Platt J, Rabaud V, Farhadi A, Paluri M (2015) ImageNet large scale visual recognition challenge. Int J Comput Vision 115:211–252 Siler CD, Diesmos AC, Linkem CW, Diesmos ML, Brown RM (2010) A new species of limestone-forest frog, genus Platymantis (Amphibia: Anura: Ceratobatrachidae) from central Luzon Island, Philippines. Zootaxa 2482:49–63 Siler CD, Linkem CW, Diesmos AC, Alcala AC (2007) A new species of Platymantis (Amphibia: Anura: Ranidae) from Panay Island, Philippines. Herpetologica 63:351–364 Taylor EH (1923) Addition to the herpetological fauna of the Philippine Islands III Philippine. J Sci 22:515–557 Biodiversity and Conservation (2021) 30:643–657 651 Philippe J, Felipe L, Celio F (2017) The use of bioacoustics in anuran taxonomy: theory, terminology, methods and recommendations for best practice. Zootaxa 4251:1–124 Ramcharan A, Baranowski K, McCloskey P, Ahmed B, Legg J, Hughes DP (2017) Deep learning for image-based cassava disease detection. Front Plant Sci 8:1852–1859 Rzanny M, Seeland M, Wäldchen J, Mäder P (2017) Acquiring and preprocessing leaf images for automated plant identification: understanding the tradeoff between effort and information gain. Plant Methods 13:1–11 Scheffers BR, Brunner RM, Ramirez SD, Shoo LP, Diesmos A, Williams SE (2013) Thermal buffering of microhabitats is a critical factor mediating warming vulnerability of frogs in the Philippine biodiversity hotspot. Biotropica 45:628–635 Schmidhuber J (2015) Deep learning in neural networks: an overview. Neural Netw 61:85–117 Sugai LSM, Silva TSF, Ribeiro JW Jr, Llusia D (2019) Terrestrial passive acoustic monitoring: review and perspectives. Bioscience 69:15–25 Szegedy C, Vanhoucke V, Ioffe S, Shlens J, Wojna Z (2016) Rethinking the inception architecture for com- puter vision. Paper presented at the IEEE Conference on Computer Vision and Pattern Recognition, Las Vegas, USA, Tapley B, Michaels CJ, Gumbs R, Böhm M, Luedtke J, Pearce-Kelly P, Rowley JJ (2018) The disparity between species description and conservation assessment: a case study in taxa with high rates of spe- cies discovery. Biol Conserv 220:209–214 Taylor EH (1923) Addition to the herpetological fauna of the Philippine Islands III Philippine. J Sci 22:515–557 However, one major challenge was the number of call notes (input spectrograms) avail- able for each species. Despite this limitation, our study is a novel use of a deep-learning platform to distinguish between closely- related species of frogs using simple, single-note, two-dimensional depictions of primary mate- recognition cues (mating calls). A second challenge, also related to sample size, was model validation. Taxonomic identification In this study, we demonstrate the efficacy of deep learning technology for reliably identi- fying—and distinguishing among—closely-related species of frogs, as exemplified by single- note call segments (Fig. 1). Given known phylogenetic relationships (Brown et al. 2015b), we were surprised that multiple closely-related species pairs were distinguished from one another perfectly (100% success). For example, species pairs P. indeprensus and P. mim- ulus (both members of the subgenus Lupacolus), P. hazelae and P. montanus (subgenus Tirahanulap), and P. levigatus and P. insulatus (subgenus Lahatnanguri) could each be predicted, by virtue of their close phylogenetic relationships, to have similar spectral (fre- quency-related) and temporal (time- related) call properties—which they do (Fig. Still, with only a single isolated note per species, TensorFlow is able to distinguish them and correctly classify species’ identity, when presented with a large sample of positively identi- fied individual notes (i. e. , known populations of confidently-identified species, based on fully documented voucher specimens deposited in biodiversity repositories). Biodiversity and Conservation (2021) 30:643–657 649 found on those islands. Finally, we calculated the overall correct identification rate across 15 islands to compare with that based on the full reference library. Results We calibrated models for classification challenges using different numbers of training steps, and considered two factors to find optima for training TensorFlow (Khalighifar et al. 2019): correct identification rate and processing time. As a result, for all challenges except Challenge 3, we chose 4000 training steps as an optimum number. For Challenge 3, given the number of species (41 species), 8000 training steps proved to be the optimum number. The details of results associated with each classification task are as follows: Challenge 1 We created a confusion matrix to depict TensorFlow’s initial results with 20 species (Fig. 3). The overall correct identification rate was 94. We achieved 100% correct identification rate for 11, and 90% or above for 17, species. The lowest identification rates were for closely- related species Platymantis isarog and P. montanus, with 70 and 75% correct Fig. 3 Confusion matrix for 20 currently recognized species of Philippine forest frogs, genus Platymantis (Brown et al. 2015b), using a leave-one-out cross-validation technique. Red = correct identification; yel- low = misidentifications. All values of zero are removed for ease of visualization 650 Biodiversity and Conservation (2021) 30:643–657 classification, respectively. We did not detect any systematic errors in TensorFlow classifi- cation, such as repeatedly confusing one species with another. Challenge 2 ",Wrong,The text does not provide information about the hardware infrastructures used for model training.
3_19,3,19,What hyperparameters are used in the model?,"The hyperparameters used in the model are the number of training steps, which is 4000 for all challenges except Challenge 3, where it is 8000. ",Right,"As a result, for all challenges except
Challenge 3, we chose 4000 training steps as an optimum number. For Challenge 3, given
the number of species (41 species), 8000 training steps proved to be the optimum number."
3_20,3,20,Why were those specific hyperparameters selected?,"The specific hyperparameters were selected based on the results of a grid search, which is a systematic method for exploring the hyperparameter space and identifying the best combination of hyperparameters for the model. The grid search was performed using a validation set, which is a subset of the training data that is used to evaluate the performance of the model during training. The hyperparameters that resulted in the best performance on the validation set were then selected for use in the final model. ",Wrong,The text does not provide information on why those specific hyperparameters were selected. 
3_21,3,21,Are the provided hyperparameters fine-tuned?,"No, the provided hyperparameters are not fine-tuned. The hyperparameters used in this study are the default values of the TensorFlow library. ",Wrong,"Yes, the hyperparameters are fine-tuned. For the training process, we modified two parameters of the model: (1) number of training steps, and (2) validation percentage. We explored different numbers of training steps and compared
results to find an optimum balance between computing time and classification efficiency. Given our limited number of images per species (n = 20), we increased the validation
parameter to 20%. For the same reason, we used a leave-one-out cross validation technique (Molinaro et al. 2005) to evaluate model performance in Challenges 1, 3, and 4."
3_22,3,22,What metrics are used to evaluate the model?,The metrics used to evaluate the model are the number of images per class assigned to a species present in the reference library and the average certainty rate associated with those identifications. ,Right,"TensorFlow provides each image identification task with two elements/features: suggested
species names and a certainty rate. Certainty rate can be a factor by which to evaluate classifier performance on test images as well. After applying TensorFlow on a testing dataset
consisting of 22 species, we considered two factors to evaluate model performance: (1) number of images per class assigned to a species present in reference library, and (2) average certainty rate associated with those identifications."
3_23,3,23,Did the authors use different metrics for different problems?,"Yes, the authors used different metrics for different problems. For example, they used accuracy for Challenge 1, F1 score for Challenge 2, and precision for Challenge 3. They also used a combination of metrics for Challenge 4, including accuracy, precision, recall, and F1 score. ",Partial,"TensorFlow provides each image identification task with two elements/features: suggested
species names and a certainty rate. Certainty rate can be a factor by which to evaluate classifier performance on test images as well. After applying TensorFlow on a testing dataset
consisting of 22 species, we considered two factors to evaluate model performance: (1) number of images per class assigned to a species present in reference library, and (2) average certainty rate associated with those identifications."
3_24,3,24,Is there sufficient information to reproduce the deep learning pipeline?,"No, there is not sufficient information to reproduce the deep learning pipeline. The text provides a description of the pipeline, but it does not provide enough details to replicate it. For example, it does not specify the training parameters, the architecture of the CNN, or the data preprocessing steps. ",Right,"No, the text does not provide sufficient information to reproduce the deep learning pipeline. The source code is not openly available or accessible."
3_25,3,25,What measures are taken to explain model predictions?,The study explains model predictions by using a confusion matrix to show the number of images per class assigned to a species present in the reference library and the average certainty rate associated with those identifications. The study also compares certainty rates associated with species present in the reference library to species new to the library to further explain model predictions. ,Right,"To improve bioacoustic monitoring and to automate rapid candidate species discovery,
we explored CNN Inception v3 as a means to automate several key inferential tasks. We
successfully identified Platymantis species with an impressive overall identification rate
(94.3%) based on single call note characteristics, a surprising result for field biologists
(RMB and colleagues) who are accustomed to discovering and describing Platymantis spe-
cies based on temporal patterns of note repetition, complex call elements, and rich spectral
properties of many calls (Brown and Gonzalez 2007; Brown et al. 2015b; Siler et al. 2007,
2010). Incorporating distributional data (grouping species by Pleistocene island bank-
based faunal regions) allowed us to create realistic subsets of species pools. By referencing
relevant, naturally-occurring species pools, we further increased overall identification rates
to 98.7%. In addition, our model was able to flag species new to the reference library, indi-
cating potential to recognize novel species in the field. This suggests that our model could
provide a powerful framework for automated species identification and new species discov-
ery in hard-to-access regions, as well as those with high rates of undiscovered biodiversity."
3_26,3,26,What is the versioning strategy for trained models?,The provided context does not contain information about the versioning strategy for trained models. ,Right,The text does not contain information about the versioning strategy for trained models.
3_27,3,27,How are different versions of datasets managed?,"The different versions of datasets are managed by using a reference library, which is a collection of all images from Challenge 1. This reference library is then used to train a model, which is applied to a test dataset from 22 robustly-identified species from recent field surveys by RMB. The test dataset is generated by creating 20 spectrograms per species, resulting in a total of 440 spectrograms. These spectrograms are subjected to identification using the CNN developed in Challenge 1. The performance of the model is evaluated by comparing the predicted species to the actual species. The model is then refined and retrained using a larger reference library and a more limited set of candidate species, resulting in improved performance. ",Partial,"We trained TensorFlow
on all images (i.e., 400 spectrograms) from Challenge 1 as an image reference library.
Then, we applied the trained model to a test dataset from 22 robustly-identified species
from recent field surveys by RMB. We generated 20 spectrograms per species for this new dataset, resulting in a total of 440 spectrograms, to be subjected to
identification using the CNN developed in Challenge 1."
3_28,3,28,How are updates to datasets documented?,"The provided context does not directly address the query about how updates to datasets are documented. However, it does mention that TensorFlow was trained on all images from Challenge 1 as an image reference library, and then applied to a test dataset from 22 robustly-identified species. It also mentions that the number of species in the TensorFlow reference library was increased to 41 by adding 21 new, undescribed species. These updates to the dataset are mentioned, but the specifics of how these updates were documented are not provided in the context. ",Right,"The text does not directly address the query about how updates to datasets are documented. However, it mentions: We trained TensorFlow on all images (i.e., 400 spectrograms) from Challenge 1 as an image reference library. Then, we applied the trained model to a test dataset from 22 robustly-identified species from recent field surveys by RMB. We generated 20 spectrograms per species for this new dataset, resulting in a total of 440 spectrograms, to be subjected to
identification using the CNN developed in Challenge 1. We increased the number of species in the TensorFlow reference library to 41 by adding 21 new, undescribed species (one species in the new dataset was already present in reference library, owing to a recent taxonomic change; Brown et al. 2015b). Then, we followed the same procedure as in Challenge 1, to test performance on a reference library that is twice as large as the original (i.e., 41 classes). These updates to the dataset are mentioned, but the specifics of how these updates were documented are not provided in the text."
3_29,3,29,What annotations or labels are associated with the data?,"The data is labeled with the species of the frog that is vocalizing. Challenge 2 We used the same CNN model from Challenge 1 to classify 22 species, 19 of which were not in the reference library. We generated 20 spectrograms per species, resulting in 440 spectrograms. The overall correct identification rate was 64. 1%. We achieved 100% correct identification rate for 10, and 90% or above for 15, species. The lowest identification rates were for Platymantis sp. 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, and 21, with 0% correct identification rate. Challenge 3 We increased the number of species in the TensorFlow reference library to 41 by adding 21 new, undescribed species. We followed the same procedure as in Challenge 1, to test performance on a reference library that is twice as large as the original (i. e. , 41 classes). The overall correct identification rate was 94. We achieved 100% correct identification rate for 10, and 90% or above for 17, species. Challenge 4 We used distributional data (Brown et al. 2015b; Diesmos et al. 2015) to create subsets of species, with the goal of generating separate classification tasks with lower numbers of classes (species) per task (local species pools, reflecting documented patterns of co-distributed species from the archipelago’s faunal regions). First, we grouped the 41 species (20 described species, plus 21 undescribed candidate species) based on Philippine islands they inhabit, resulting in 15 subsets of co-occurring species in “communities” of 3 to 27 species (Fig. 2). Then, we trained and tested the classifier employing the set of samples from the species in each subset. We calculated the overall correct identification rate for each subset. The overall correct identification rate was 98. 7%. We achieved 100% correct identification rate for 13, and 90% or above for 15, subsets. The lowest identification rates were for subsets from Luzon, Mindanao, and Panay, with 94. 6, 95. 0, and 95. 0% correct identification rate, respectively. Conclusion We used TensorFlow to classify 20 species of Philippine forest frogs, genus Platymantis, using a leave-one-out cross-validation technique. 3%. We achieved 100% correct identification rate for 11, and 90% or above for 17, species. The lowest identification rates were for closely-related species Platymantis isarog and P. montanus, with 70 and 75% correct identification rate, respectively. We also used TensorFlow to classify 22 species, 19 of which were not in the reference library. We increased the number of species in the TensorFlow reference library to 41 by adding 21 new, undescribed species. We used distributional data to create subsets of species, with the goal of generating separate classification tasks with lower numbers of classes (species) per task (local species pools, reflecting documented patterns of co-distributed species from the archipelago’s faunal regions). We trained and tested the classifier employing the set of samples from the species in each subset. ",Right,"we used TensorFlow Inception v3 to design a robust, automated species identification system for 41 Philippine frog species (genus Platymantis), utilizing single-note audio spectrograms."
3_30,3,30,How are these annotations or labels used in the model?,"In the model, the annotations or labels are used to train the model to recognize and classify the different species of frogs. Each spectrogram image is associated with a label indicating the species of frog that it represents. During training, the model learns to associate the visual patterns in the spectrogram images with the corresponding labels. Once the model is trained, it can be used to predict the species of frog for new, unlabeled spectrogram images. ",Right,"we used TensorFlow Inception v3 to design a robust, automated species identification system for 41 Philippine frog species (genus Platymantis), utilizing single-note audio spectrograms."
3_31,3,31,What predictions or classifications are generated by the deep learning model?,"The deep learning model generates predictions or classifications of Platymantis species based on frequency distributions of individual call notes of each species. It is trained on single-note spectrograms and is capable of identifying Platymantis species with an impressive overall identification rate of 94. 3%. When incorporating distributional data and referencing relevant, naturally-occurring species pools, the overall identification rate increases to 98. 7%. The model is also able to flag species new to the reference library, indicating potential to recognize novel species in the field. ",Right,"TensorFlow identified species with a ~ 94% overall correct identification rate.
Incorporating distributional data increased the overall identification rate to ~ 99%. In applying TensorFlow to a dataset that included undescribed species in addition to known species, our model was able to differentiate undescribed species through variation in “cer-
tainty” rate; the overall certainty rate for undescribed species was 65.5% versus 83.6% for described species. This indicates that, in addition to discriminating recognized frog species, our model has the potential to flag possible new species."
3_32,3,32,How is uncertainty or confidence in model predictions captured?,"Uncertainty or confidence in model predictions is captured by TensorFlow through the use of certainty rates. Certainty rates are a measure of how confident the model is in its predictions. In the study, the certainty rate is used as a factor to evaluate the performance of the model on test images. The higher the certainty rate, the more confident the model is in its prediction. ",Partial,"TensorFlow provides each image identification task with two elements/features: suggested
species names and a certainty rate. Certainty rate can be a factor by which to evaluate classifier performance on test images as well. After applying TensorFlow on a testing dataset
consisting of 22 species, we considered two factors to evaluate model performance: (1) number of images per class assigned to a species present in reference library, and (2) aver-
age certainty rate associated with those identifications (Fig. 4). Among the 22 species in the test dataset, only one, P. isarog, was also present in the reference library; however, the
remainder were new to the training set. As a result, it was impossible for TensorFlow to provide a correct answer for the other 21 species. The overall certainty rate for those 21
species was 65.5%. However, in Challenge 1, the overall certainty rate for the 20 species present in reference library was 83.6%. A Mann–Whitney U test (Python 3.8.2) comparing
certainty rates associated with species present in the reference library (n = 20) to species new to the library (n = 21) indicated that TensorFlow yielded a significantly lower certainty
rate for the latter group (U = 56379.5, P = 1.09e–19)."
3_33,3,33,Are there post-processing steps applied to the model's output?,"Yes, there are post-processing steps applied to the model's output. The post-processing steps include the use of a threshold to determine whether the model's output is a positive or negative identification. The threshold is set at 0. 5, meaning that if the model's output is greater than or equal to 0. 5, it is considered a positive identification, and if it is less than 0. 5, it is considered a negative identification. Additionally, the model's output is rounded to the nearest integer to ensure a clear positive or negative identification. ",Wrong,The text does not provide information about the post-processing steps applied to the model's output.
