Publication,Mixtral_8*22b-GPT4_Concepts,Mixtral_8*22b-GPT3.5_Concepts,Mixtral_8*22b-Gemini_Concepts,GPT4-GPT3.5_Concepts,GPT4-Gemini_Concepts,GPT3.5-Gemini_Concepts,Mixtral_8*22b-GPT4_Instances,Mixtral_8*22b-GPT3.5_Instances,Mixtral_8*22b-Gemini_Instances,GPT4-GPT3.5_Instances,GPT4-Gemini_Instances,GPT3.5-Gemini_Instances
16,8/12 (66.67%),8/13 (61.54%),6/12 (50.00%),10/11 (90.91%),8/10 (80.00%),8/11 (72.73%),14/25 (56.00%),9/31 (29.03%),4/31 (12.90%),12/31 (38.71%),6/32 (18.75%),5/34 (14.71%)
18,7/13 (53.85%),8/15 (53.33%),4/13 (30.77%),6/11 (54.55%),3/8 (37.50%),3/11 (27.27%),9/31 (29.03%),10/28 (35.71%),6/26 (23.08%),7/23 (30.43%),6/18 (33.33%),5/17 (29.41%)
19,6/13 (46.15%),6/8 (75.00%),3/8 (37.50%),8/13 (61.54%),4/14 (28.57%),4/9 (44.44%),14/52 (26.92%),8/42 (19.05%),4/45 (8.89%),9/43 (20.93%),5/46 (10.87%),8/27 (29.63%)
20,11/31 (35.48%),9/30 (30.00%),6/29 (20.69%),8/17 (47.06%),6/15 (40.00%),6/12 (50.00%),7/57 (12.28%),2/58 (3.45%),6/46 (13.04%),8/56 (14.29%),10/46 (21.74%),6/46 (13.04%)
24,7/7 (100.00%),6/7 (85.71%),5/7 (71.43%),6/7 (85.71%),5/7 (71.43%),5/6 (83.33%),8/27 (29.63%),5/25 (20.00%),6/15 (40.00%),9/32 (28.12%),8/24 (33.33%),5/22 (22.73%)
25,5/29 (17.24%),5/29 (17.24%),2/28 (7.14%),5/7 (71.43%),1/7 (14.29%),1/7 (14.29%),2/23 (8.70%),2/23 (8.70%),0/17 (0.00%),6/20 (30.00%),0/18 (0.00%),0/18 (0.00%)
27,12/16 (75.00%),11/17 (64.71%),3/15 (20.00%),12/14 (85.71%),3/13 (23.08%),3/13 (23.08%),13/81 (16.05%),16/71 (22.54%),1/43 (2.33%),26/73 (35.62%),1/55 (1.82%),1/48 (2.08%)
28,5/7 (71.43%),5/6 (83.33%),2/6 (33.33%),6/7 (85.71%),3/7 (42.86%),2/7 (28.57%),8/15 (53.33%),9/11 (81.82%),1/14 (7.14%),9/16 (56.25%),4/16 (25.00%),1/16 (6.25%)
33,5/10 (50.00%),5/10 (50.00%),4/8 (50.00%),7/7 (100.00%),4/7 (57.14%),4/7 (57.14%),3/31 (9.68%),3/25 (12.00%),3/20 (15.00%),8/24 (33.33%),7/20 (35.00%),5/16 (31.25%)
34,7/10 (70.00%),7/9 (77.78%),6/9 (66.67%),9/10 (90.00%),8/10 (80.00%),7/10 (70.00%),7/44 (15.91%),10/37 (27.03%),9/29 (31.03%),16/44 (36.36%),11/40 (27.50%),8/39 (20.51%)
37,10/16 (62.50%),9/16 (56.25%),8/16 (50.00%),10/11 (90.91%),9/11 (81.82%),9/10 (90.00%),3/50 (6.00%),1/51 (1.96%),4/38 (10.53%),12/41 (29.27%),5/38 (13.16%),3/39 (7.69%)
38,6/10 (60.00%),6/11 (54.55%),6/11 (54.55%),8/9 (88.89%),8/9 (88.89%),9/9 (100.00%),10/23 (43.48%),7/26 (26.92%),5/23 (21.74%),13/25 (52.00%),5/28 (17.86%),3/30 (10.00%)
39,11/24 (45.83%),11/24 (45.83%),10/24 (41.67%),11/11 (100.00%),10/11 (90.91%),10/11 (90.91%),14/63 (22.22%),12/51 (23.53%),7/39 (17.95%),15/77 (19.48%),9/66 (13.64%),7/54 (12.96%)
41,11/14 (78.57%),11/14 (78.57%),10/14 (71.43%),12/12 (100.00%),11/12 (91.67%),11/12 (91.67%),13/47 (27.66%),11/37 (29.73%),10/34 (29.41%),16/46 (34.78%),13/45 (28.89%),10/36 (27.78%)
42,10/15 (66.67%),10/17 (58.82%),10/15 (66.67%),10/12 (83.33%),10/10 (100.00%),10/12 (83.33%),7/54 (12.96%),7/53 (13.21%),13/33 (39.39%),16/61 (26.23%),10/53 (18.87%),7/55 (12.73%)
43,9/10 (90.00%),9/13 (69.23%),9/12 (75.00%),9/12 (75.00%),9/11 (81.82%),11/12 (91.67%),13/21 (61.90%),11/29 (37.93%),14/25 (56.00%),13/27 (48.15%),14/25 (56.00%),12/33 (36.36%)
44,9/16 (56.25%),8/19 (42.11%),9/15 (60.00%),9/15 (60.00%),10/11 (90.91%),9/14 (64.29%),14/60 (23.33%),19/56 (33.93%),18/51 (35.29%),23/58 (39.66%),9/66 (13.64%),13/63 (20.63%)
45,6/9 (66.67%),6/17 (35.29%),6/11 (54.55%),6/14 (42.86%),6/8 (75.00%),8/14 (57.14%),2/29 (6.90%),1/36 (2.78%),6/30 (20.00%),14/24 (58.33%),4/33 (12.12%),3/40 (7.50%)
46,7/9 (77.78%),7/16 (43.75%),7/10 (70.00%),7/14 (50.00%),7/8 (87.50%),8/14 (57.14%),7/26 (26.92%),6/30 (20.00%),9/28 (32.14%),11/26 (42.31%),8/30 (26.67%),9/32 (28.12%)
47,9/11 (81.82%),8/17 (47.06%),6/13 (46.15%),7/16 (43.75%),6/11 (54.55%),6/16 (37.50%),14/29 (48.28%),6/26 (23.08%),3/33 (9.09%),7/30 (23.33%),4/37 (10.81%),1/29 (3.45%)
Total,233/393 (59.29%),224/420 (53.33%),177/384 (46.09%),238/314 (75.80%),187/282 (66.31%),186/301 (61.79%),252/1043 (24.16%),229/984 (23.27%),185/835 (22.16%),335/1023 (32.75%),214/951 (22.50%),174/909 (19.14%)
Average,7.77/13.10 (59.29%),7.47/14.00 (53.33%),5.90/12.80 (46.09%),7.93/10.47 (75.80%),6.23/9.40 (66.31%),6.20/10.03 (61.79%),8.40/34.77 (24.16%),7.63/32.80 (23.27%),6.17/27.83 (22.16%),11.17/34.10 (32.75%),7.13/31.70 (22.50%),5.80/30.30 (19.14%)
