Publication No.,CQ No.,CQ,CQ LLM Answer,Ontology Concept,KG Individual,KG Individual Label
5,7,Does the paper discuss data bias or ethical implications?,The paper does not discuss data bias or ethical implications.,EthicalImplication,https://w3id.org/dlprovenance#EthicalImplication_1,environmental sustainability and transparency
5,8,What is the architecture of the deep learning model in the pipeline?,The deep learning model used in the pipeline is a multilayer perceptron (MLP) architecture. The network architecture of MLP used in this study is illustrated in Figure 3 of the document.,Architecture,https://w3id.org/dlprovenance#Architecture_1,multilayer perceptron (MLP) architecture
5,8,What is the architecture of the deep learning model in the pipeline?,The deep learning model used in the pipeline is a multilayer perceptron (MLP) architecture. The network architecture of MLP used in this study is illustrated in Figure 3 of the document.,Model,https://w3id.org/dlprovenance#Model_1,potential plant species richness patterns for North Korea using a state-of-the-art DL approach
5,9,How was the model selected for a specific task?,cted based on the root mean square error (RMSE) as the performance metric. The feature with the greatest significance in the species richness retrievals was determined using a statistical feature importance test (SFIT).,Model,https://w3id.org/dlprovenance#Model_1,potential plant species richness patterns for North Korea using a state-of-the-art DL approach
5,10,What were the considerations in the model selection process?,"The model selection process considered the use of macro-ecological models and stacking species distribution models (S-SDMs) to estimate species richness, and the S-SDMs approach was chosen because it combines the predictions of each species’ SDM to estimate species richness.",Consideration,https://w3id.org/dlprovenance#Consideration_1,use of macro-ecological models and stacking species distribution models (S-SDMs) to estimate species richness
5,10,What were the considerations in the model selection process?,"The model selection process considered the use of macro-ecological models and stacking species distribution models (S-SDMs) to estimate species richness, and the S-SDMs approach was chosen because it combines the predictions of each species’ SDM to estimate species richness.",Consideration,https://w3id.org/dlprovenance#Consideration_2,S-SDMs approach was chosen because it combines the predictions of each species’ SDM to estimate species richness
5,12,Are the models considered state-of-the-art?,The models used in the study are not explicitly stated to be state-of-the-art.,Model,https://w3id.org/dlprovenance#Model_1,potential plant species richness patterns for North Korea using a state-of-the-art DL approach
5,13,How is the model initialized?,"The model is initialized by splitting the data into training and testing sets, using 10% for training and 90% for testing.",Model,https://w3id.org/dlprovenance#Model_1,potential plant species richness patterns for North Korea using a state-of-the-art DL approach
5,19,What hyperparameters are used in the model?,The provided context does not explicitly state the hyperparameters used in the model.,Hyperparameter,https://w3id.org/dlprovenance#Hyperparameter_1,root mean square error (RMSE) as the performance metric
5,19,What hyperparameters are used in the model?,The provided context does not explicitly state the hyperparameters used in the model.,Hyperparameter,https://w3id.org/dlprovenance#Hyperparameter_2,statistical feature importance test (SFIT) to determine the feature with the greatest significance in the species richness retrievals
5,20,Why were those specific hyperparameters selected?,"parameters were selected based on a grid search method. The combination of hyperparameters that resulted in the best performance, as measured by the root mean square error (RMSE), was chosen as the final set of hyperparameters.",Hyperparameter,https://w3id.org/dlprovenance#Hyperparameter_1,root mean square error (RMSE) as the performance metric
5,20,Why were those specific hyperparameters selected?,"parameters were selected based on a grid search method. The combination of hyperparameters that resulted in the best performance, as measured by the root mean square error (RMSE), was chosen as the final set of hyperparameters.",Hyperparameter,https://w3id.org/dlprovenance#Hyperparameter_2,statistical feature importance test (SFIT) to determine the feature with the greatest significance in the species richness retrievals
5,32,How is uncertainty or confidence in model predictions captured?,"The uncertainty or confidence in model predictions is captured by using k-fold cross-validation with k = 5 to fit the models and averaging the 5 results for the final suitability result for each species, and by using probability-based stacking to combine the predictions of each species’ SDM to estimate species richness.",UncertaintyConfidence,https://w3id.org/dlprovenance#UncertaintyConfidence_1,probability-based stacking to combine the predictions of each species’ SDM to estimate species richness
5,37,What ethical considerations are taken into account during development and deployment?,The ethical considerations taken into account during development and deployment of the system are related to environmental sustainability and transparency.,EthicalImplication,https://w3id.org/dlprovenance#EthicalImplication_1,environmental sustainability and transparency
5,38,How is bias in the data addressed?,"The authors address bias in the data by using probability-based stacking, which combines the predictions of each species' species distribution model (SDM) to estimate species richness. They also use MODIS products, Normalized Difference Vegetation Index (NDVI) and Leaf Area Index (LAI), as input variables to estimate potential plant species richness of South Korea.",BiasAddressing,https://w3id.org/dlprovenance#BiasAddressing_1,using probability-based stacking to address bias in the data
5,39,Is there transparency in the decision-making process regarding bias?,"The study used a method called ""stacking species distribution models"" to estimate species richness, which produced unbiased richness. However, the study does not explicitly discuss transparency in the decision-making process regarding bias.",Transparency,https://w3id.org/dlprovenance#Transparency_1,using probability-based stacking to address bias in the data
5,40,Are privacy and security measures implemented in handling sensitive data?,"The text does not explicitly mention if privacy and security measures are implemented in handling sensitive data, but it can be inferred that the study followed the data handling and privacy policies of GBIF, a public database that provides open access to biodiversity data.",SensitiveData,https://w3id.org/dlprovenance#SensitiveData_1,environmental sustainability and transparency
